date,link,summary,summary_polarity,title,title_polarity
2010-12-14 20:15:07,https://www.bloomberg.com/news/articles/2010-12-14/argentine-stocks-bbva-banco-frances-increases-tenaris-declines," Galicia SA or Banco Macro SA, Banco Santander SA wrote today in an e-mailed note to clients. Tenaris SA (TS AF), the world’s largest producer of seamless steel tubes used in the oil industry, fell... ",0.1," Argentine Stocks: BBVA Banco Frances Rises; Tenaris, TGS Fall ",0.0
2010-12-16 20:13:46,https://www.bloomberg.com/news/articles/2010-12-16/argentine-stocks-edenor-sa-tenaris-sa-and-ypf-sa-increase," Jose Vasquez, an analyst at Bull Market Brokers, said today by telephone from Buenos Aires. Tenaris SA (TS AF) increased 2.4 percent to 94.20 pesos. The world’s largest producer of seamless steel... ",0.1," Argentine Stocks: Edenor SA, Tenaris SA and YPF SA Increase ",0.0
2010-12-22 08:41:02,https://www.bloomberg.com/news/articles/2010-12-22/fiat-indesit-sias-tenaris-ubi-shares-may-move-italian-equity-preview," percent this quarter from the previous period, more than previously predicted, citing weak demand. Tenaris SA (TEN IM) rose 1.2 percent to 18.8 euros, the highest since August 2008. UniCredit Research... ",0.0653," Italian Stocks: Beni Stabili, Exor, Indesit, STMicro, Tenaris ",0.0
2010-12-27 20:47:27,https://www.bloomberg.com/news/articles/2010-12-27/argentine-stock-movers-steelmaker-siderar-and-tenaris-retreat, curb inflation. Tenaris SA (TS AF) dropped 0.8 percent to 97.5 pesos. Falling global oil prices signaled lower demand for the seamless steel tubes for the oil gas industry that Tenaris makes. ... ,0.05," Argentine Stocks: Molinos Rio de la Plata, Siderar and Tenaris ",0.0
2010-12-28 07:18:25,https://www.bloomberg.com/news/articles/2010-12-28/autogrill-bulgari-safilo-tenaris-ternienergia-italian-equity-preview," December 2020, according to a stock-exchange statement. The shares rose 1.3 percent to 13.77 euros. Tenaris SA (TEN IM): Exane BNP Paribas downgraded the world’s biggest maker of seamless steel tubes for... ",0.2333," Autogrill, Safilo, Tenaris, TerniEnergia: Italian Equity Preview ",0.0
2010-12-28 20:36:36,https://www.bloomberg.com/news/articles/2010-12-28/argentine-stocks-grimoldi-petroleo-brasileiro-and-tenaris," to a record 2.089 million barrels in November, the country’s National Petroleum Agency said. Tenaris SA (TS AF) fell 0.4 percent to 97.15 pesos. Exane BNP Paribas lowered its rating on the world’s... ",0.0," Argentine Stocks: Grimoldi, Petroleo Brasileiro and Tenaris ",0.0
2011-01-03 09:53:01,https://www.bloomberg.com/news/articles/2011-01-03/european-stock-index-futures-advance-porsche-fiat-shares-may-be-active," 6 percent to 70.92 euros, respectively. Oil traded near the highest in more than two years. Tenaris SpA, the world’s biggest maker of seamless steel tubes, gained 2.6 percent to 18.82 euros. Simcorp... ",0.175," European Stocks, U.S. Index Futures Advance; Automakers Increase ",0.0
2011-01-03 18:53:16,https://www.bloomberg.com/news/articles/2010-12-27/new-york-stock-exchange-short-interest-as-of-dec-15," 38,051 TPX      TEMPUR-PEDIC INT               6,025,053     6,249,437      661,441 TS       TENARIS-ADR                    7,210,012     6,945,064    1,909,616 THC      TENET HEALTHCARE       ... ",0.0, New York Stock Exchange Short Interest as of Dec. 15 ,0.0682
2011-01-03 20:29:14,https://www.bloomberg.com/news/articles/2011-01-03/ledesma-molinos-rio-de-la-plata-surge-on-merval-index-addition," consumer lender, became the index’s largest member, with an 18.4 percent weighting, surpassing Tenaris SA, which will comprise 15.6 percent of the measure. Ledesma rose 82 percent in 2010, with 45... ",0.6," Ledesma, Molinos Advance After Being Added to Merval ",0.0
2011-01-12 20:25:01,https://www.bloomberg.com/news/articles/2011-01-12/argentine-stocks-juan-semino-molinos-santander-rio-tenaris," after the U.S. government cut its forecasts of inventories, signaling tighter food supplies. Tenaris SA (TS AF) gained 2.2 percent to 98.3 pesos, the most in three weeks. The world’s largest producer... ",0.5," Argentine Stock Movers: Banco Santander Rio, Molinos, Tenaris ",0.0
